,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
29,Downtown Toronto,43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
30,Downtown Toronto,43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
31,Downtown Toronto,43.6542599,-79.3606359,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
32,Downtown Toronto,43.6542599,-79.3606359,Cocina Economica,43.65495889022676,-79.3656572507398,Mexican Restaurant
33,Downtown Toronto,43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
34,Downtown Toronto,43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
35,Downtown Toronto,43.6542599,-79.3606359,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
36,Downtown Toronto,43.6542599,-79.3606359,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
37,Downtown Toronto,43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
38,Downtown Toronto,43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
39,Downtown Toronto,43.6542599,-79.3606359,John Fluevog Shoes,43.64989585773889,-79.3594359503061,Shoe Store
40,Downtown Toronto,43.6542599,-79.3606359,Greg's Ice Cream,43.65010164153305,-79.3604404498866,Ice Cream Shop
41,Downtown Toronto,43.6542599,-79.3606359,The Aviary,43.65363394725125,-79.35466212072043,Pub
42,Downtown Toronto,43.6542599,-79.3606359,The Abnormal Beauty Company,43.649892147380996,-79.3610051085219,Cosmetics Shop
43,Downtown Toronto,43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
44,Downtown Toronto,43.6542599,-79.3606359,Izumi,43.6499697935016,-79.36015326451906,Asian Restaurant
45,Downtown Toronto,43.6542599,-79.3606359,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
46,Downtown Toronto,43.6542599,-79.3606359,Ontario Spring Water Sake Company,43.649921646081026,-79.36007302731126,Brewery
47,Downtown Toronto,43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
48,Downtown Toronto,43.6542599,-79.3606359,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
49,Downtown Toronto,43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Beer Store
50,Downtown Toronto,43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
51,Downtown Toronto,43.6542599,-79.3606359,Flame Shack,43.656844075440546,-79.35891727496157,Restaurant
52,Downtown Toronto,43.6542599,-79.3606359,Residence & Conference Centre,43.65304,-79.35704,Hotel
53,Downtown Toronto,43.6542599,-79.3606359,The Healthy Road,43.656264585886454,-79.35711882680904,Health Food Store
54,Downtown Toronto,43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antique Shop
55,North York,43.718518,-79.46476329999999,Roots,43.7182215,-79.4667762,Boutique
56,North York,43.718518,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
57,North York,43.718518,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
58,North York,43.718518,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
59,North York,43.718518,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
60,North York,43.718518,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
61,North York,43.718518,-79.46476329999999,Suzy Shier,43.718846,-79.465906,Clothing Store
62,North York,43.718518,-79.46476329999999,Kitchen Stuff Plus,43.71908675341768,-79.46296954870189,Furniture / Home Store
63,North York,43.718518,-79.46476329999999,Bluenotes,43.718846,-79.465906,Clothing Store
64,North York,43.718518,-79.46476329999999,Party City,43.71941805471303,-79.459316806156,Miscellaneous Shop
65,North York,43.718518,-79.46476329999999,Frameworth sports marketing,43.718431101584265,-79.46851256833587,Gift Shop
66,North York,43.718518,-79.46476329999999,Le Château,43.71926903,-79.460276,Clothing Store
67,North York,43.718518,-79.46476329999999,Barrymore,43.715889754621216,-79.46818846540778,Furniture / Home Store
68,North York,43.718518,-79.46476329999999,Canadian Appliance,43.72211025429708,-79.46726560592651,Furniture / Home Store
69,Downtown Toronto,43.6623015,-79.3894938,Queen's Park,43.66394609897775,-79.39217952520835,Park
70,Downtown Toronto,43.6623015,-79.3894938,Nando's,43.66172826,-79.38639146,Portuguese Restaurant
71,Downtown Toronto,43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
72,Downtown Toronto,43.6623015,-79.3894938,YMCA,43.66275344493089,-79.3848492869005,Gym
73,Downtown Toronto,43.6623015,-79.3894938,Starbucks,43.65945605353152,-79.39041123272168,Coffee Shop
74,Downtown Toronto,43.6623015,-79.3894938,Coffee Public,43.66076299149323,-79.38618409033066,Coffee Shop
75,Downtown Toronto,43.6623015,-79.3894938,Como En Casa,43.66516,-79.384796,Mexican Restaurant
76,Downtown Toronto,43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Creperie
77,Downtown Toronto,43.6623015,-79.3894938,Bar Volo,43.66546184849369,-79.38569158315659,Beer Bar
78,Downtown Toronto,43.6623015,-79.3894938,Tokyo Sushi,43.665885330936845,-79.38697684868161,Sushi Restaurant
79,Downtown Toronto,43.6623015,-79.3894938,The Yoga Sanctuary,43.661499497597596,-79.38363613350754,Yoga Studio
80,Downtown Toronto,43.6623015,-79.3894938,College Park Area,43.65975136823981,-79.38491112965691,Park
81,Downtown Toronto,43.6623015,-79.3894938,Curry's Art Store Ltd.,43.66283810530193,-79.38373201352064,Arts & Crafts Store
82,Downtown Toronto,43.6623015,-79.3894938,Burrito Bandidos,43.662962178169344,-79.38395554190546,Burrito Place
83,Downtown Toronto,43.6623015,-79.3894938,Coffee Island,43.66427089680226,-79.38697157138014,Coffee Shop
84,Downtown Toronto,43.6623015,-79.3894938,401 Games,43.663623277853254,-79.3840374323983,Hobby Shop
85,Downtown Toronto,43.6623015,-79.3894938,Neo Coffee Bar,43.66014,-79.38587,Coffee Shop
86,Downtown Toronto,43.6623015,-79.3894938,Coach House Restaurant,43.66499059853204,-79.38481415727767,Diner
87,Downtown Toronto,43.6623015,-79.3894938,Tokyo Grill,43.665085238149395,-79.38470692554789,Japanese Restaurant
88,Downtown Toronto,43.6623015,-79.3894938,W Burger Bar,43.66133100835633,-79.3835570768382,Burger Joint
89,Downtown Toronto,43.6623015,-79.3894938,Hart House Theatre,43.66357134217992,-79.3946163990837,Theater
90,Downtown Toronto,43.6623015,-79.3894938,Flock Rotisserie + Greens,43.659167,-79.389475,Fried Chicken Joint
91,Downtown Toronto,43.6623015,-79.3894938,Buddies In Bad Times Theatre,43.663058539371825,-79.38344927771267,Nightclub
92,Downtown Toronto,43.6623015,-79.3894938,Starbucks,43.661527,-79.383411,Coffee Shop
93,Downtown Toronto,43.6623015,-79.3894938,Crown Princess Fine Dining 伯爵名宴,43.66645492941117,-79.38769789187712,Chinese Restaurant
94,Downtown Toronto,43.6623015,-79.3894938,Starbucks,43.658204,-79.388998,Coffee Shop
95,Downtown Toronto,43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Juice Bar
96,Downtown Toronto,43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
97,Downtown Toronto,43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857401,Gym
98,Downtown Toronto,43.6623015,-79.3894938,Subway,43.659132014268515,-79.39111410032399,Sandwich Place
99,Downtown Toronto,43.6623015,-79.3894938,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
100,Downtown Toronto,43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
101,Downtown Toronto,43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
102,Downtown Toronto,43.6623015,-79.3894938,Tim Hortons,43.658175,-79.3906813,Coffee Shop
103,Downtown Toronto,43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966201,Bar
104,Downtown Toronto,43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
105,Downtown Toronto,43.6623015,-79.3894938,Tim Hortons,43.658599,-79.388498,Coffee Shop
106,Downtown Toronto,43.6623015,-79.3894938,The Green Beet Cafe,43.66209577172247,-79.39415302454405,Vegetarian / Vegan Restaurant
107,Scarborough,43.8066863,-79.19435340000003,Wendy's,43.80744841934756,-79.19905558052072,Fast Food Restaurant
108,Scarborough,43.8066863,-79.19435340000003,Interprovincial Group,43.8056297,-79.2003784,Print Shop
109,North York,43.7459058,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym / Fitness Center
110,North York,43.7459058,-79.352188,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
111,North York,43.7459058,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
112,North York,43.7459058,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
113,North York,43.7459058,-79.352188,Elite Camps,43.745053,-79.354296,Basketball Court
114,East York,43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
115,East York,43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
116,East York,43.7063972,-79.309937,Shoppers Drug Mart,43.705933,-79.312825,Pharmacy
117,East York,43.7063972,-79.309937,TD Canada Trust,43.705739883755946,-79.31227013468737,Bank
118,East York,43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
119,East York,43.7063972,-79.309937,Harvey's,43.71072995920288,-79.30883762217763,Fast Food Restaurant
120,East York,43.7063972,-79.309937,Nostalgia,43.706832771917064,-79.31178314223835,Café
121,East York,43.7063972,-79.309937,East York Animal Clinic,43.70592051370348,-79.3121958344716,Pet Store
122,East York,43.7063972,-79.309937,Rise & Dine Eatery,43.705769,-79.311638,Breakfast Spot
123,East York,43.7063972,-79.309937,St. Clair Ave E & O'Connor Dr,43.70523283448301,-79.31327432821826,Intersection
124,East York,43.7063972,-79.309937,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
125,East York,43.7063972,-79.309937,Harvey's,43.70813627814792,-79.3141045886623,Fast Food Restaurant
126,East York,43.7063972,-79.309937,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891099,Athletics & Sports
127,Downtown Toronto,43.6571618,-79.37893709999999,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
128,Downtown Toronto,43.6571618,-79.37893709999999,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
129,Downtown Toronto,43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
130,Downtown Toronto,43.6571618,-79.37893709999999,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
131,Downtown Toronto,43.6571618,-79.37893709999999,Page One Cafe,43.65777161112601,-79.3760725691681,Café
132,Downtown Toronto,43.6571618,-79.37893709999999,DAVIDsTEA,43.65658619027106,-79.38116704725516,Tea Room
133,Downtown Toronto,43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
134,Downtown Toronto,43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
135,Downtown Toronto,43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793,Ramen Restaurant
